Names,Screen_name
Doug Jones ,sendougjones
Richard Shelby ,SenShelby
Dan Sullivan ,SenDanSullivan
Lisa Murkowski ,LisaMurkowski
Kyrsten Sinema ,SenatorSinema
Martha McSally ,SenMcSallyAZ
Tom Cotton ,SenTomCotton
John Boozman ,JohnBoozman
Dianne Feinstein ,SenFeinstein
Kamala Harris ,SenKamalaHarris
Cory Gardner ,SenCoryGardner
Michael Bennet ,SenatorBennet
Chris Murphy ,ChrisMurphyCT
Richard Blumenthal ,SenBlumenthal
Tom Carper ,SenatorCarper
Chris Coons ,ChrisCoons
Rick Scott ,SenRickScott
Marco Rubio ,marcorubio
David Perdue ,sendavidperdue
Johnny Isakson ,SenatorIsakson
Mazie Hirono ,MazieHirono
Brian Schatz ,SenBrianSchatz
Jim Risch ,SenatorRisch
Mike Crapo ,MikeCrapo
Dick Durbin ,SenatorDurbin
Tammy Duckworth ,SenDuckworth
Mike Braun ,SenatorBraun
Todd Young ,SenToddYoung
Joni Ernst ,SenJoniErnst
Chuck Grassley ,ChuckGrassley
Pat Roberts ,SenPatRoberts
Jerry Moran ,JerryMoran
Mitch McConnell ,McConnellPress
Rand Paul ,RandPaul
Bill Cassidy ,SenBillCassidy
John Kennedy ,SenJohnKennedy
Angus King ,SenAngusKing
Susan Collins ,SenatorCollins
Ben Cardin ,SenatorCardin
Chris Van Hollen,ChrisVanHollen
Elizabeth Warren ,SenWarren
Ed Markey ,SenMarkey
Debbie Stabenow ,SenStabenow
Gary Peters ,SenGaryPeters
Amy Klobuchar ,SenAmyKlobuchar
Tina Smith ,SenTinaSmith
Roger Wicker ,SenatorWicker
Cindy Hyde-Smith ,SenHydeSmith
Josh Hawley ,SenHawleyPress
Roy Blunt ,RoyBlunt
Jon Tester ,SenatorTester
Steve Daines ,SteveDaines
Deb Fischer ,SenatorFischer
Ben Sasse ,SenSasse
Jacky Rosen ,SenJackyRosen
Catherine Cortez Masto,sencortezmasto
Jeanne Shaheen ,SenatorShaheen
Maggie Hassan ,Senatorhassan
Robert Menendez ,SenatorMenendez
Cory Booker ,SenBooker
Martin Heinrich ,MartinHeinrich
Tom Udall ,SenatorTomUdall
Kirsten Gillibrand ,GillibrandNY
Chuck Schumer ,SenSchumer
Thom Tillis ,senthomtillis
Richard Burr ,SenatorBurr
Kevin Cramer ,SenKevinCramer
John Hoeven ,SenJohnHoeven
Sherrod Brown ,SenSherrodBrown
Rob Portman ,SenRobPortman
James Inhofe ,JimInhofe
James Lankford ,SenatorLankford
Jeff Merkley ,SenJeffMerkley
Ron Wyden ,RonWyden
Bob Casey Jr.,SenBobCasey
Pat Toomey ,SenToomey
Sheldon Whitehouse ,SenWhitehouse
Jack Reed ,SenJackReed
Lindsey Graham ,GrahamBlog
Tim Scott ,SenatorTimScott
Mike Rounds ,SenatorRounds
John Thune ,SenJohnThune
Marsha Blackburn ,MarshaBlackburn
Lamar Alexander ,SenAlexander
Ted Cruz ,SenTedCruz
John Cornyn ,JohnCornyn
Mitt Romney ,SenatorRomney
Mike Lee ,SenMikeLee
Bernie Sanders ,SenSanders
Patrick Leahy ,SenatorLeahy
Tim Kaine ,timkaine
Mark Warner ,MarkWarner
Maria Cantwell ,SenatorCantwell
Patty Murray ,PattyMurray
Joe Manchin ,Sen_JoeManchin
Shelley Moore Capito,SenCapito
Tammy Baldwin ,SenatorBaldwin
Ron Johnson ,SenRonJohnson
John Barrasso ,SenJohnBarrasso
Mike Enzi ,SenatorEnzi
Abby Finkenauer ,RepFinkenauer
Abigail Spanberger ,RepSpanberger
Adam Kinzinger ,RepKinzinger
Adam Schiff ,RepAdamSchiff
Adam Smith ,RepAdamSmith
Adrian Smith ,RepAdrianSmith
Adriano Espaillat ,RepEspaillat
Al Green ,RepAlGreen
Al Lawson ,RepAlLawsonJr
Alan Lowenthal ,RepLowenthal
Albio Sires ,RepSires
Alcee Hastings ,RepHastingsFL
Alex Mooney ,RepAlexMooney
Alexandria Ocasio-Cortez ,RepAOC
Alma Adams ,RepAdams
Amata Coleman Radewagen,RepAmata
Ami Bera ,RepBera
Andr� Carson ,RepAndreCarson
Andy Barr ,RepAndyBarr
Andy Biggs ,RepAndyBiggsAZ
Andy Harris ,RepAndyHarrisMD
Andy Kim ,RepAndyKimNJ
Andy Levin ,RepAndyLevin
Angie Craig ,RepAngieCraig
Ann Kirkpatrick ,RepKirkpatrick
Ann McLane Kuster,RepAnnieKuster
Ann Wagner ,RepAnnWagner
Anna Eshoo ,RepAnnaEshoo
Anthony Brindisi ,RepBrindisi
Anthony G. Brown,RepAnthonyBrown
Anthony Gonzalez ,RepAGonzalez
Antonio Delgado ,repdelgado
Austin Scott ,AustinScottGA08
Ayanna Pressley ,RepPressley
Barbara Lee ,RepBarbaraLee
Barry Loudermilk ,RepLoudermilk
Ben Cline ,RepBenCline
Ben McAdams ,RepBenMcAdams
Ben Ray Luj�n,RepBenRayLujan
Bennie Thompson ,BennieGThompson
Betty McCollum ,BettyMcCollum04
Bill Flores ,RepBillFlores
Bill Foster ,RepBillFoster
Bill Huizenga ,RepHuizenga
Bill Johnson ,RepBillJohnson
Bill Keating ,USRepKeating
Bill Pascrell ,BillPascrell
Bill Posey ,CongBillPosey
Billy Long ,USRepLong
Blaine Luetkemeyer ,RepBlaine
Bob Gibbs ,RepBobGibbs
Bob Latta ,boblatta
Bobby Rush ,RepBobbyRush
Bobby Scott ,BobbyScott
Bonnie Watson Coleman,RepBonnie
Brad Schneider ,repschneider
Brad Sherman ,BradSherman
Brad Wenstrup ,RepBradWenstrup
Bradley Byrne ,RepByrne
Brenda Lawrence ,RepLawrence
Brendan Boyle ,CongBoyle
Brett Guthrie ,RepGuthrie
Brian Babin ,RepBrianBabin
Brian Fitzpatrick ,repbrianfitz
Brian Higgins ,RepBrianHiggins
Brian Mast ,repbrianmast
Bruce Westerman ,RepWesterman
Bryan Steil ,RepBryanSteil
Buddy Carter ,RepBuddyCarter
Carol Miller ,RepCarolMiller
Carolyn Maloney ,RepMaloney
Cathy McMorris Rodgers,CathyMcMorris
Cedric Richmond ,RepRichmond
Charlie Crist ,repcharliecrist
Chellie Pingree ,ChelliePingree
Cheri Bustos ,RepCheri
Chip Roy ,RepChipRoy
Chris Collins ,RepChrisCollins
Chris Pappas ,RepChrisPappas
Chris Stewart ,RepChrisStewart
Chrissy Houlahan ,RepHoulahan
Christopher Smith ,RepChrisSmith
Chuck Fleischmann ,RepChuck
Cindy Axne ,RepCindyAxne
Clay Higgins ,RepClayHiggins
Colin Allred ,RepColinAllred
Collin Peterson ,collinpeterson
Conor Lamb ,RepConorLamb
Dan Crenshaw ,RepDanCrenshaw
Dan Kildee ,RepDanKildee
Dan Lipinski ,RepLipinski
Dan Meuser ,RepMeuser
Dan Newhouse ,RepNewhouse
Daniel Webster ,RepWebster
Danny K. Davis,RepDannyDavis
Darin LaHood ,RepLaHood
Darren Soto ,RepDarrenSoto
Dave Loebsack ,DaveLoebsack
David Cicilline ,RepCicilline
David Joyce ,RepDaveJoyce
David Kustoff ,repdavidkustoff
David McKinley ,RepMcKinley
David Price ,RepDavidEPrice
David Rouzer ,RepDavidRouzer
David Schweikert ,RepDavid
David Scott ,RepDavidScott
David Trone ,repdavidtrone
Dean Phillips ,RepDeanPhillips
Deb Haaland ,RepDebHaaland
Debbie Dingell ,RepDebDingell
Debbie Lesko ,RepDLesko
Debbie Mucarsel-Powell ,RepDMP
Debbie Wasserman Schultz,RepDWStweets
Dennis Heck ,RepDennyHeck
Denver Riggleman ,RepRiggleman
Derek Kilmer ,RepDerekKilmer
Devin Nunes ,RepDevinNunes
Diana DeGette ,RepDianaDeGette
Dina Titus ,RepDinaTitus
Don Bacon ,repdonbacon
Don Beyer ,RepDonBeyer
Don Young ,RepDonYoung
Donald McEachin ,RepMcEachin
Donald Norcross ,DonaldNorcross
Donald Payne Jr.,RepDonaldPayne
Donna Shalala ,RepShalala
Doris Matsui ,DorisMatsui
Doug Collins ,RepDougCollins
Doug LaMalfa ,RepLaMalfa
Doug Lamborn ,RepDLamborn
Drew Ferguson ,RepDrewFerguson
Duncan D. Hunter,Rep_Hunter
Dusty Johnson ,RepDustyJohnson
Dutch Ruppersberger ,Call_Me_Dutch
Dwight Evans ,RepDwightEvans
Earl Blumenauer ,repblumenauer
Ed Case ,RepEdCase
Ed Perlmutter ,RepPerlmutter
Eddie Bernice Johnson,RepEBJ
Elaine Luria ,RepElaineLuria
Eleanor Holmes Norton,EleanorNorton
Elijah Cummings ,RepCummings
Eliot Engel ,RepEliotEngel
Elise Stefanik ,RepStefanik
Elissa Slotkin ,RepSlotkin
Emanuel Cleaver ,RepCleaver
Eric Swalwell ,RepSwalwell
Filemon Vela Jr.,RepFilemonVela
Francis Rooney ,RepRooney
Frank Lucas ,RepFrankLucas
Frank Pallone ,FrankPallone
Fred Upton ,RepFredUpton
Frederica Wilson ,RepWilson
